lat,lon,dn,day,mon,year,h,sigma,zm,Bo,rho,dataset,stn,chlsur,tempsur,tz
43.48,-62.45,296,23,10,2003,9.01,7.36,42.4,0.189,0.72,2003-067,HL4,0.189,14.71,2.3
43.88,-62.88,296,23,10,2003,29.94,20.68,22.83,0.019,0.97,2003-067,HL3,0.333,13.87,2.6
44.41,-63.45,296,23,10,2003,74.52,10.28,11.86,0.217,0.93,2003-067,HL1,1.704,10.74,3
44.27,-63.32,297,24,10,2003,60.41,27.53,-0.17,0.044,0.95,2003-067,HL2,0.919,12.91,5.6
43.31,-60.34,297,24,10,2003,96.29,30.52,-14.47,0.006,1,2003-067,SIB6,1.131,14.17,2.5
43.12,-60.15,297,24,10,2003,23.02,25.14,21.9,0.021,0.95,2003-067,SIB7,0.271,15.13,4
44.02,-59.04,298,25,10,2003,31.07,18.52,9.7,0.067,0.91,2003-067,GULDD3,0.651,13.75,5.3
44.14,-58.17,298,25,10,2003,45.22,27.64,14.35,0.016,0.98,2003-067,LL7,0.586,12.71,2.9
43.77,-57.82,299,26,10,2003,36.04,20.51,36.99,0.047,0.94,2003-067,LL8,0.185,14.8,5.3
43.47,-57.53,299,26,10,2003,34.73,24.86,29.37,0.011,0.98,2003-067,LL9,0.289,14.5,5
44.23,-55.84,299,26,10,2003,13.9,5.85,38.9,0.183,0.84,2003-067,SPB10,0.183,15.85,3.3
44.52,-55.84,300,27,10,2003,38.99,37.79,31.53,0,1,2003-067,SPB9,0.291,14.69,4.3
44.48,-58.51,300,27,10,2003,60.89,21.31,0.9,0.157,0.88,2003-067,LL6,1.296,12.6,2.8
44.82,-58.85,300,27,10,2003,43.29,14.49,9.23,0.083,0.93,2003-067,LL5,1.056,12.65,3.1
45.16,-59.18,300,27,10,2003,39.75,15.03,11.89,0.046,0.96,2003-067,LL4,0.818,11.95,2.5
45.49,-59.52,300,27,10,2003,35.95,18.26,14.6,0.014,0.98,2003-067,LL3,0.584,12.12,5.7
45.66,-59.7,301,28,10,2003,60.4,21.22,14.55,0.008,0.99,2003-067,LL2,0.906,12.04,5.9
45.83,-59.85,301,28,10,2003,41.44,11.59,12.55,0.191,0.88,2003-067,LL1,0.985,11.78,7.2
46.96,-60.22,301,28,10,2003,63.47,23.54,4.6,0.122,0.9,2003-067,CSL1,1.178,11.46,1.9
47.1,-59.99,301,28,10,2003,67.78,22.5,8.94,0.026,0.98,2003-067,CSL3,1.136,10.91,1.6
47.27,-59.78,301,28,10,2003,37.68,11.92,6.18,0.093,0.93,2003-067,CSL4,1.195,10.59,1.7
47.43,-59.56,301,28,10,2003,44.89,23.88,12.58,0.028,0.96,2003-067,CSL5,0.68,9.03,5.7
47.8,-60.09,302,29,10,2003,51.79,20.22,2.19,0.059,0.95,2003-067,LH2,1.074,8.55,5.3
48,-60.4,302,29,10,2003,92.24,30.98,-14.25,0.095,0.93,2003-067,LH3,1.164,9.54,2.7
47.5,-59.9,302,29,10,2003,41.12,13.76,9.9,0.03,0.98,2003-067,NL1,0.95,8.01,1.7
47,-59,302,29,10,2003,88.49,22.37,-3.74,0.07,0.96,2003-067,LCN1,1.626,10.24,3
45.98,-57.64,303,30,10,2003,129.27,53.28,-33.39,0,1,2003-067,LCL4,0.795,11.84,4.7
44.28,-63.31,304,31,10,2003,64.33,21.1,17.67,0.011,0.99,2003-067,HL2,0.867,12.16,5.4
43.31,-51.34,345,11,12,2003,142.37,20.87,21.12,0.184,0.94,2003-078,GBL2_2,1.815,3.88,2.8
43.14,-51.48,345,11,12,2003,249.1,32.46,24.11,0,1,2003-078,GBL2_3,2.323,3.62,2.4
42.4,-52.02,346,12,12,2003,56.77,16.78,16.54,0,1,2003-078,GBL2_5,0.83,7.92,5.5
42.03,-52.29,346,12,12,2003,44.38,31.28,22.5,0,1,2003-078,GBL2_6,0.437,13.38,2.2
44.56,-53.16,347,13,12,2003,56.64,27.03,24.73,0.001,1,2003-078,GBL1_2,0.551,7.31,3.6
44.47,-53.24,347,13,12,2003,50.13,29.19,22.25,0,1,2003-078,GBL1_2.,0.512,7.2,5.1
44.22,-53.48,347,13,12,2003,53.78,32.35,21.22,0,1,2003-078,GBL1_3.,0.535,6.91,3.9
44.05,-53.64,347,13,12,2003,43.62,27.98,24.08,0,1,2003-078,GBL1_4,0.429,9.11,3.1
43.71,-53.95,348,14,12,2003,51.3,25.28,20.6,0,1,2003-078,GBL1_5,0.581,9.73,5.8
43.35,-54.25,348,14,12,2003,45.06,26.5,13.47,0.019,0.97,2003-078,GBL1_6,0.615,12.48,2.7
43.43,-55.84,348,14,12,2003,42.96,30.16,22.26,0,1,2003-078,SPB12,0.433,13.42,1.7
44.23,-55.84,349,15,12,2003,62.64,32.97,27.59,0,1,2003-078,SPB10,0.534,9.85,4.9
44.76,-55.84,349,15,12,2003,42.53,31.13,19.2,0,1,2003-078,SPB08,0.451,9.74,2.6
44.93,-55.84,349,15,12,2003,22.81,18.42,16.88,0.029,0.95,2003-078,SPB06,0.353,4.56,2.4
45.05,-55.85,349,15,12,2003,16.99,14.99,15.12,0.017,0.96,2003-078,SPB05A,0.289,3.41,1.5
43.64,-58.98,351,17,12,2003,96.46,31.83,9.66,0,1,2003-078,DEC1701,1.155,5.91,2.1
43.59,-58.92,351,17,12,2003,81.09,23.45,17.91,0,1,2003-078,DEC1702,1.031,6.12,3.5
42.53,-61.4,352,18,12,2003,57.88,33.46,19.44,0,1,2003-078,HL7,0.583,8.31,3.9
43,-65.47,353,19,12,2003,44.46,30.26,24.91,0,1,2003-078,BBL2,0.418,5.65,5.4
42.75,-65.44,353,19,12,2003,32.26,24.72,18.71,0.028,0.95,2003-078,BBL3,0.419,5.65,5.4
42.45,-65.48,353,19,12,2003,40.25,31.33,19.73,0.083,0.86,2003-078,BBL4,0.503,5.71,1.8
42.29,-65.84,353,19,12,2003,25.37,23.81,13.96,0.195,0.69,2003-078,PSM1,0.553,6.07,2.7
42.13,-65.5,353,19,12,2003,56.26,32.3,15.6,0,1,2003-078,BBL5,0.618,6.54,4.2
42,-65.51,354,20,12,2003,62.94,34.79,16.29,0,1,2003-078,BBL6,0.647,7.88,6.5
41.87,-65.35,354,20,12,2003,88.53,46.1,30.77,0,1,2003-078,BBL7,0.613,9.75,5.2
42.62,-64.07,354,20,12,2003,112.21,56.35,-20.43,0,1,2003-078,RL5,0.744,6.4,2.3
42.32,-63.87,354,20,12,2003,71.92,48.54,28.87,0,1,2003-078,RL6,0.495,11.78,2.1
42.85,-61.73,355,21,12,2003,33.87,26.54,15.8,0.039,0.93,2003-078,HL6,0.466,8.55,1.8
43.18,-62.1,355,21,12,2003,51.67,29.43,23.96,0,1,2003-078,HL5,0.503,8.47,2.3
43.48,-62.45,355,21,12,2003,49.4,23.71,19.84,0,1,2003-078,HL4,0.586,6.43,2.3
43.88,-62.88,355,21,12,2003,55.72,20.28,21.55,0,1,2003-078,HL3,0.623,6.57,5.5
44.4,-63.45,356,22,12,2003,25.7,36.54,28.01,0,1,2003-078,HL1,0.209,4.88,3.5
44.27,-63.32,109,18,4,2004,147.37,14.04,-1.77,0.181,0.96,2004-009,HL2,4.336,1.89,3.1
43.01,-65.49,110,19,4,2004,428.63,67.61,27.59,2.756,0.48,2004-009,BBL2,5.083,1.47,3
42.77,-65.49,111,20,4,2004,286.62,26.26,19.1,0.857,0.84,2004-009,BBL3,4.199,1.5,3.6
42.45,-65.47,111,20,4,2004,84.84,17.41,18.89,1.312,0.6,2004-009,BBL4,2.391,1.67,2.8
42.3,-65.83,111,20,4,2004,136.68,21.72,14.42,0.586,0.81,2004-009,PSM1,2.6,2.93,1.7
42.13,-65.51,111,20,4,2004,122.88,17.56,13.52,0.738,0.79,2004-009,BBL5,2.813,1.46,3
41.99,-65.52,111,20,4,2004,162.4,25.9,6.68,0.104,0.96,2004-009,BBL6,2.523,2.91,2.3
41.87,-65.34,112,21,4,2004,68.66,15.4,2.03,0.244,0.88,2004-009,BBL7,2.007,5.3,3.5
42.09,-64.67,112,21,4,2004,135.68,27.37,17.44,0,1,2004-009,APEX,1.614,7.96,1.8
42.62,-64.08,113,22,4,2004,156.82,22.16,31.24,0.017,0.99,2004-009,RL5,1.062,5.12,1.9
42.53,-61.39,114,23,4,2004,31.79,5.16,58.31,0.483,0.84,2004-009,HL7,0.483,4.69,2.5
42.85,-61.73,114,23,4,2004,65.57,21.25,14.99,0.11,0.92,2004-009,HL6,1.069,4.75,2.1
43.18,-62.11,115,24,4,2004,65.03,7.37,38.13,0.452,0.89,2004-009,HL5,0.452,2.9,2.6
43.48,-62.45,115,24,4,2004,2.29,5.94,13.32,0.135,0.53,2004-009,HL4,0.148,3.05,2.1
43.88,-62.89,115,24,4,2004,4.58,16.85,13.34,0.149,0.42,2004-009,HL3,0.228,2.99,2.5
44.27,-63.31,116,25,4,2004,129.53,12.5,16.78,0.706,0.85,2004-009,HL2,2.385,1.62,2.1
43.25,-65.05,118,27,4,2004,180.65,31.23,32.96,0,1,2004-009,RL1,1.322,1.85,3.7
43.88,-62.88,118,27,4,2004,37.18,69.66,-4.07,0,1,2004-009,HL3,0.213,2.93,1.7
44.02,-59.04,119,28,4,2004,315.92,22,21.49,0.144,0.98,2004-009,GUL3,3.699,2.18,2.8
43.48,-57.52,119,28,4,2004,438.3,25.58,22.4,0,1,2004-009,LL9,4.659,3.19,3.2
43.81,-57.84,119,28,4,2004,346.72,27.98,27.46,0,1,2004-009,LL8,3.054,3.35,2
44.14,-58.19,120,29,4,2004,603.73,22.21,17.9,0.103,0.99,2004-009,LL7,7.94,2.12,1.8
44.82,-58.84,120,29,4,2004,478.97,26.36,38.52,1.963,0.79,2004-009,LL5,4.455,1.84,2.7
45.16,-59.17,120,29,4,2004,242.94,15.28,42.6,2.15,0.75,2004-009,LL4,2.28,1.95,2.3
45.49,-59.52,120,29,4,2004,3680.21,124.81,-143.23,0,1,2004-009,LL3,6.089,1.46,2.5
45.66,-59.7,120,29,4,2004,349.69,10.13,13.18,0.489,0.97,2004-009,LL2,6.396,0.63,1.9
45.83,-59.85,121,30,4,2004,740.08,33.65,21.15,0,1,2004-009,LL1,7.201,0.24,2.1
46.96,-60.21,121,30,4,2004,312.57,21.19,21.75,2.352,0.71,2004-009,CSL1,5.826,-0.03,2.5
47.02,-60.11,121,30,4,2004,305.19,18.59,21.04,1.04,0.86,2004-009,CSL2,4.492,0.32,2
47.1,-60,121,30,4,2004,262.44,13.58,12.09,0.275,0.97,2004-009,CSL3,5.462,1.21,2
47.27,-59.78,121,30,4,2004,533.97,17.63,13.46,0.366,0.97,2004-009,CSL4,9.394,1.49,2.2
47.44,-59.58,121,30,4,2004,132,7.45,7.67,0.672,0.91,2004-009,CSL5,4.833,1.13,2.7
47.59,-59.35,122,1,5,2004,312.49,15.25,6.62,0.485,0.94,2004-009,CSL6,7.925,1.26,2.2
45.54,-56.5,122,1,5,2004,72.83,13.51,12.44,4.045,0.35,2004-009,NL1,5.453,1.62,2.5
45.06,-55.84,122,1,5,2004,1457.43,47.78,-8.74,0,1,2004-009,SPB5A,11.967,3.13,2.9
44.9,-55.84,122,1,5,2004,279.6,16.5,16.99,0.046,0.99,2004-009,SPB6,4.025,2.14,2.6
44.76,-55.85,123,2,5,2004,364.11,27.13,26.82,0,1,2004-009,SPB8,3.285,3.25,2.3
44.23,-55.84,123,2,5,2004,65.38,26.06,19.08,0.004,1,2004-009,SPB10,0.769,5.43,3.7
43.43,-55.84,123,2,5,2004,91.4,38.34,7.19,0.112,0.9,2004-009,SPB12,1.046,4.98,2.6
43.03,-55.84,123,2,5,2004,46.63,18.1,16.21,0.095,0.92,2004-009,SPB13,0.783,5.52,2.9
43.03,-55.4,123,2,5,2004,122.28,23.84,23.9,0,1,2004-009,TRANS1,1.238,5.47,1.9
43.03,-55.01,123,2,5,2004,85.37,19.39,7.77,0.091,0.95,2004-009,TRANS2,1.712,5.99,2.3
43.03,-54.6,124,3,5,2004,65.99,13.92,11.44,0.03,0.98,2004-009,GBL1-7,1.379,6.97,2.4
43.37,-54.29,124,3,5,2004,91.8,15.33,3.21,0.078,0.97,2004-009,GBL1-6,2.415,5.79,2.4
43.71,-53.96,124,3,5,2004,57.49,11.9,7.63,0.18,0.91,2004-009,GBL1-5,1.749,5.87,2.6
44.05,-53.64,124,3,5,2004,60.33,23.65,8.63,0.186,0.85,2004-009,GBL1-4,1.138,4.79,2.6
44.22,-53.49,124,3,5,2004,367.66,29.44,18.46,0,1,2004-009,GBL1-3.,4.093,5.41,2.4
44.39,-53.32,124,3,5,2004,251.02,15.52,14.45,0.227,0.97,2004-009,GBL1-3,4.41,4.72,2.5
44.47,-53.24,125,4,5,2004,343.97,18.37,19,0,1,2004-009,GBL1-2.,4.375,4.69,2.4
44.56,-53.16,125,4,5,2004,371.21,31.8,27.33,0,1,2004-009,GBL1-2,3.219,4,2
43.5,-51.2,125,4,5,2004,152.81,5.26,50.38,1.618,0.88,2004-009,GBL2-1,1.618,4.87,3.7
43.32,-51.34,125,4,5,2004,59.63,8.76,59.98,0.309,0.9,2004-009,GBL2-2,0.309,5.01,3.4
43.14,-51.48,125,4,5,2004,55.44,9.67,59.03,0.912,0.71,2004-009,GBL2-3,0.912,5.21,2.3
42.77,-51.76,125,4,5,2004,107.67,19.37,19.9,0.035,0.98,2004-009,GBL2-4,1.343,5.7,2.6
42.4,-52.02,126,5,5,2004,61.12,12.39,9.92,0.169,0.92,2004-009,GBL2-5,1.597,5.88,2.5
42.03,-52.29,126,5,5,2004,98.37,10.93,16.97,0.051,0.99,2004-009,GBL2-6,1.127,9.47,2.5
42.19,-53.42,126,5,5,2004,158.69,26.11,13.61,0.01,1,2004-009,SWL1,2.127,12.14,3.6
42.34,-54.53,126,5,5,2004,248.02,41.1,-20.32,0,1,2004-009,SWL2,2.13,6.03,2.7
42.51,-55.65,127,6,5,2004,60.32,5.65,32.28,0.982,0.81,2004-009,SWL3,0.982,5.37,2.5
42.67,-56.77,127,6,5,2004,89.77,4.87,40.34,0.519,0.93,2004-009,SWL4,0.519,5.12,2.7
42.83,-57.88,127,6,5,2004,42.05,10.68,22.07,0.261,0.86,2004-009,SWL5,0.447,6.96,2.3
42.98,-59.01,127,6,5,2004,71.5,15.26,28.92,0.07,0.96,2004-009,SWL6,0.381,5.62,2.7
43.14,-60.12,128,7,5,2004,234.41,7.34,46.84,0.826,0.94,2004-009,SIB7,0.826,5.04,2.9
43.32,-60.34,128,7,5,2004,145.57,8.92,27.85,2.022,0.76,2004-009,SIB6,2.071,4.27,3.6
43.67,-60.64,128,7,5,2004,3.31,9.78,13.96,0.17,0.44,2004-009,SIB5,0.219,4.34,2.2
44.05,-61.06,128,7,5,2004,66.56,16.1,18.43,0.035,0.98,2004-009,SIB4,0.892,4.53,2.3
44.51,-61.54,128,7,5,2004,29.11,18.05,20.02,0.038,0.94,2004-009,SIB2,0.386,4.73,1.7
44.86,-61.9,129,8,5,2004,25.63,14.66,28.54,0.509,0.58,2004-009,SIB1,0.614,3.68,2.7
44.39,-62.27,129,8,5,2004,21.15,14.01,18.48,0.033,0.95,2004-009,LE1,0.286,4.1,2.4
44.27,-63.32,129,8,5,2004,25.61,24.78,64.89,0.102,0.8,2004-009,HL2,0.115,3.11,2.9
44.4,-63.47,136,15,5,2004,13.23,13.22,2.62,0.056,0.88,2004-016,HL_1,0.448,4.52,1.7
44.27,-63.31,137,16,5,2004,11.15,12.77,8.57,0.053,0.87,2004-016,HL_2,0.331,4.42,2.4
43.88,-62.88,137,16,5,2004,12.39,5.96,41.21,0.287,0.74,2004-016,HL_3,0.287,4.64,2.3
43.49,-62.45,137,16,5,2004,48.15,20.1,22.21,0,1,2004-016,HL_4,0.519,4.95,2.1
42.85,-61.68,137,16,5,2004,48.7,10.81,53.6,0.323,0.85,2004-016,HL_6,0.323,5.54,2.8
42.53,-61.4,137,16,5,2004,73.38,16.55,31.91,0.018,0.99,2004-016,HL_7,0.294,7.6,4.7
44.8,-60.49,138,17,5,2004,35.85,60.18,-18.37,0,1,2004-016,BioCTD1,0.227,3.17,2.1
49.3,-58.91,139,18,5,2004,36.14,34.65,36.97,0.008,0.98,2004-016,BioCTD2,0.244,1.97,2.6
53.98,-55.25,141,20,5,2004,124.9,23.6,24.43,0.018,0.99,2004-016,L3_3,1.253,-1.06,1.1
54.22,-55.02,141,20,5,2004,188.13,38.25,9.69,0,1,2004-016,L3_4,1.9,-1.02,2.3
54.49,-54.75,141,20,5,2004,38.47,29.85,11.08,0.134,0.79,2004-016,L3_5,0.613,-1.02,2.4
54.76,-54.48,141,20,5,2004,9.92,20.16,10.8,0.14,0.58,2004-016,L3_6,0.31,-1.13,3.1
54.96,-54.27,141,20,5,2004,12.3,12.29,8.72,0.035,0.92,2004-016,L3_7,0.346,2.24,2.6
55.1,-54.14,141,20,5,2004,15.57,21.39,16.87,0.028,0.91,2004-016,L3_8,0.241,2.34,3
55.62,-53.64,142,21,5,2004,81.11,49.92,27.07,0,1,2004-016,L3_11_B,0.56,3.7,4.7
57.38,-51.78,143,22,5,2004,200.77,26.8,18.51,0.188,0.94,2004-016,L3_16_B,2.542,4.23,3.5
59.49,-49.49,146,25,5,2004,105.77,23.77,17.34,0.261,0.87,2004-016,L3_21_B,1.621,3.93,2.2
60.37,-48.48,147,26,5,2004,283.5,13.38,7.39,1.32,0.86,2004-016,L3_26,8.577,0.9,2
60.57,-48.23,147,26,5,2004,27.44,6.64,60.23,6.516,0.2,2004-016,L3_28,6.516,0.52,1.8
59.37,-48.63,148,27,5,2004,322.11,41.38,25.03,0,1,2004-016,BioCTD3,2.586,4.32,4
54.18,-46.54,149,28,5,2004,22.45,20.29,8.65,0.597,0.43,2004-016,BioCTD4,1,4.86,4.2
44.27,-63.31,293,19,10,2004,32.27,17.57,15.38,0.015,0.98,2004-055,HL2,0.514,14.06,1.7
43.25,-65.05,294,20,10,2004,26.21,19.76,15.14,0.025,0.96,2004-055,RL1,0.419,14.14,4.1
43.25,-65.48,294,20,10,2004,8.69,7.45,10,0.116,0.8,2004-055,BBL1,0.305,13.97,4.3
42.99,-65.48,294,20,10,2004,33.96,23.04,16.22,0,1,2004-055,BBL2,0.459,14.44,2.3
42.75,-65.48,294,20,10,2004,20.64,23.1,10.44,0.019,0.95,2004-055,BBL3,0.341,13.66,2.2
42.44,-65.52,294,20,10,2004,45.43,22.02,7.17,0.085,0.91,2004-055,BBL4,0.866,12.21,0.6
42.13,-65.5,294,20,10,2004,23.98,19.36,14.57,0.009,0.98,2004-055,BBL5,0.381,13.63,1.2
41.97,-65.51,295,21,10,2004,48.98,20.4,19.75,0,1,2004-055,BBL6,0.599,12.62,4.4
41.86,-65.35,295,21,10,2004,27.37,21.02,8.66,0.022,0.96,2004-055,BBL7,0.499,12.78,3.3
42.61,-64.09,295,21,10,2004,20.92,13.66,17.62,0.038,0.94,2004-055,RL5,0.304,13.77,1.5
43.47,-57.53,297,23,10,2004,22.39,24.51,26.19,0.093,0.8,2004-055,LL9,0.299,14.86,1.7
43.78,-57.84,297,23,10,2004,11.43,5.65,30.49,0.162,0.83,2004-055,LL8,0.162,14.53,4
44.12,-58.2,298,24,10,2004,33.18,19.36,14.35,0.003,1,2004-055,LL7,0.522,11.06,3.7
44.48,-58.52,298,24,10,2004,19.25,10.72,12.11,0.289,0.71,2004-055,LL6,0.667,9.58,1.6
44.82,-58.85,298,24,10,2004,34.94,21.02,8.39,0.043,0.94,2004-055,LL5,0.656,9.85,2.6
45.15,-59.17,298,24,10,2004,19.76,15.83,13.71,0.069,0.88,2004-055,LL4,0.411,10.61,2.3
45.49,-59.52,298,24,10,2004,32.93,10.22,12.57,0.068,0.95,2004-055,LL3,0.672,10.06,3.6
45.66,-59.7,299,25,10,2004,45.86,24.68,-2.66,0.036,0.95,2004-055,LL2,0.773,9.89,4.9
45.82,-59.85,299,25,10,2004,28.62,16.96,11.99,0.052,0.93,2004-055,LL1,0.576,10.82,4.6
46.96,-60.22,300,26,10,2004,16.63,9.76,6.59,0.053,0.93,2004-055,CSL1,0.595,12.43,3.8
47.02,-60.12,300,26,10,2004,8.28,5.25,11.03,0.05,0.93,2004-055,CSL2,0.12,11.93,3.8
47.27,-59.79,300,26,10,2004,28,16,18.06,0.035,0.95,2004-055,CSL4,0.404,9.82,2.2
47.44,-59.58,300,26,10,2004,46.35,21.48,12.87,0.025,0.97,2004-055,CSL5,0.744,9.91,1.6
47.58,-59.34,300,26,10,2004,28.6,14.94,13.06,0.166,0.82,2004-055,CSL6,0.687,9.4,1.6
44.01,-59.05,301,27,10,2004,23.05,11.21,12.58,0.094,0.9,2004-055,GUL3,0.531,10.74,2.3
42.53,-61.4,302,28,10,2004,27.34,19.22,13.02,0.028,0.95,2004-055,HL7,0.479,16.43,2.1
42.85,-61.74,302,28,10,2004,44.35,30.15,20.9,0.062,0.9,2004-055,HL6,0.524,16.67,2.6
43.18,-62.11,302,28,10,2004,20.17,12.52,11.01,0.298,0.68,2004-055,HL5,0.735,12.62,1.2
43.48,-62.46,302,28,10,2004,58.21,23.3,17.4,0,1,2004-055,HL4,0.754,11.1,4.2
43.88,-62.88,303,29,10,2004,31.3,25.96,17.51,0.027,0.95,2004-055,HL3,0.411,11.47,4.2
44.27,-63.32,303,29,10,2004,37.18,19.38,14.22,0.017,0.98,2004-055,HL2,0.601,11.88,3.4
44.4,-63.45,303,29,10,2004,41.35,26.09,16.68,0,1,2004-055,HL1,0.515,12.04,1.5
44.7,-63.64,91,1,4,2005,295.41,11.12,5.52,1.943,0.85,2005-004,B_BASIN,11.313,2.13,0.5
44.4,-63.48,91,1,4,2005,1253.9,80.65,11.18,0,1,2005-004,HL1,6.143,0.35,1
44.25,-63.33,91,1,4,2005,824.28,32.32,32.83,0,1,2005-004,HL2,6.074,1,0.8
43.89,-62.89,92,2,4,2005,290.7,34.55,28.59,0,1,2005-004,HL3,2.384,2.26,1.5
43.19,-62.11,92,2,4,2005,25,14.07,14.68,2.497,0.22,2005-004,HL5,2.908,3.2,1.3
42.84,-61.73,92,2,4,2005,490.57,35.38,29.23,0,1,2005-004,HL6,3.932,3.75,1.1
42.51,-61.39,92,2,4,2005,517.29,33.73,31.2,0,1,2005-004,HL7,3.989,3.84,1.3
43.01,-65.5,94,4,4,2005,160.14,19.48,17.45,0.077,0.98,2005-004,BBL2,2.273,1.93,1.6
42.76,-65.47,94,4,4,2005,145.99,13.86,16.63,0.23,0.95,2005-004,BBL3,2.276,2.38,3
42.45,-65.47,94,4,4,2005,468.44,30.84,13.19,0.354,0.94,2005-004,BBL4,5.884,2.55,4.6
42.16,-65.5,94,4,4,2005,182.97,16.99,9.65,0.174,0.96,2005-004,BBL5,3.831,2.17,0.2
42,-65.49,95,5,4,2005,82.65,26.74,24.21,0.639,0.66,2005-004,BBL6,1.458,2.44,0.3
41.87,-65.34,95,5,4,2005,564.06,62.53,-80.72,0.148,0.96,2005-004,BBL7,1.712,5.58,0.9
44.07,-59.06,96,6,4,2005,99.51,7.4,7.74,2.732,0.66,2005-004,GULDD3,5.836,2.33,0.4
43.79,-57.84,96,6,4,2005,142.03,28.3,34.86,0.033,0.98,2005-004,LL8,0.971,6.28,1
44.11,-58.17,96,6,4,2005,161.16,6.08,6.65,1.839,0.85,2005-004,LL7,7.653,2.88,0.5
44.47,-58.49,97,7,4,2005,78.57,10.49,6.36,4.541,0.4,2005-004,LL6,7.028,2.89,1.3
44.81,-58.84,97,7,4,2005,657.85,25.99,12.39,0.03,1,2005-004,LL5,9.043,1.51,0.9
45.16,-59.18,97,7,4,2005,745.53,32.26,28.84,0,1,2005-004,LL4,6.183,0.88,0.9
45.49,-59.52,97,7,4,2005,782.81,29.49,21.09,0,1,2005-004,LL3,8.2,-0.07,0.9
45.65,-59.69,97,7,4,2005,900.35,35.63,8.51,0,1,2005-004,LL2,9.798,-0.1,2.3
45.82,-59.84,97,7,4,2005,464.09,25.11,17.84,0,1,2005-004,LL1,5.729,-0.41,0.7
47.58,-59.37,97,7,4,2005,532.63,42.66,-3.21,0,1,2005-004,CSL6,4.967,1.54,1.2
47.44,-59.56,98,8,4,2005,163.5,10.03,5.67,0.242,0.96,2005-004,CSL5,5.785,0.48,0.7
47.28,-59.78,98,8,4,2005,38.95,36.97,8.02,0.054,0.89,2005-004,CSL4,0.465,0.47,0.3
47.11,-59.98,98,8,4,2005,234.58,5.38,5.68,0.524,0.97,2005-004,CSL3,10.486,-0.22,0.6
47.02,-60.12,98,8,4,2005,377.7,12.85,3.64,0.266,0.98,2005-004,CSL2,11.53,-0.11,0.5
46.97,-60.21,98,8,4,2005,295.32,11.49,5.21,0.06,0.99,2005-004,CSL1,9.312,-1.04,0.2
44.86,-61.89,99,9,4,2005,78.73,13.54,44.32,2.546,0.48,2005-004,SIB1,2.556,0.71,0.5
44.26,-61.26,99,9,4,2005,80.82,22.19,37.83,0.202,0.88,2005-004,SIB3,0.541,2.79,0.9
43.33,-60.34,99,9,4,2005,252.42,12.73,10.82,0.515,0.94,2005-004,SIB6,6.027,3.46,0.8
43.12,-60.16,100,10,4,2005,207.83,33.32,3.42,0.164,0.94,2005-004,SIB7,2.639,4.8,0.5
44.26,-63.31,100,10,4,2005,37.49,12.2,32.19,1.311,0.48,2005-004,HL2,1.349,1.34,1
60.57,-48.23,149,29,5,2005,6.93,6.69,42.51,0.178,0.7,2005-016,L3-28,0.178,3.48,2.7
60.45,-48.36,149,29,5,2005,24.58,12.02,31.62,1.33,0.38,2005-016,L3-27,1.355,3.26,2.4
60.37,-48.46,150,30,5,2005,497.18,41.57,6.65,0.281,0.94,2005-016,L3-26,4.991,2.99,2.7
59.06,-49.95,150,30,5,2005,247.94,27.36,-24,0.065,0.98,2005-016,L3-20_B,2.526,5.33,2.6
57.38,-51.79,151,31,5,2005,42.48,20.91,9.63,0.054,0.94,2005-016,L3-16_B,0.783,5.59,2.7
55.84,-53.39,152,1,6,2005,174.54,12.02,8.39,0.065,0.99,2005-016,L3-12_B,4.606,5.69,1.7
55.19,-54.05,153,2,6,2005,119.28,15.79,12.29,0.315,0.91,2005-016,L3-8.5,2.541,4.29,2.8
55.11,-54.13,153,2,6,2005,72.09,8.39,17.13,1.317,0.72,2005-016,L3-8,1.743,2.11,2.6
54.95,-54.29,153,2,6,2005,171.84,19.32,-2.41,0.22,0.94,2005-016,L3-7,3.74,1.86,2.2
54.49,-54.76,153,2,6,2005,63.26,6.77,6.24,0.567,0.87,2005-016,L3-5,3.004,1.76,2.5
54.22,-55.02,154,3,6,2005,193.34,4.88,30.48,1.019,0.94,2005-016,L3-4,1.019,3.13,2.4
53.99,-55.25,154,3,6,2005,140.52,40.85,30.69,0,1,2005-016,L3-3,1.035,3.88,1.4
43.33,-67.06,164,13,6,2005,49.29,12.34,13.8,0.072,0.96,2005-021,JordanB,0.925,8.87,-0.3
43.34,-67.23,164,13,6,2005,38.43,7.99,10.17,0.173,0.92,2005-021,JordanB,1.027,8.21,0.3
43.36,-67.43,164,13,6,2005,29.66,15.58,13.94,0.025,0.97,2005-021,JordanB,0.534,8.9,0.2
42.7,-67.37,165,14,6,2005,34.95,8.48,20.99,0.159,0.91,2005-021,Crowell,0.235,9.84,-0.3
41.77,-65.74,166,15,6,2005,85.89,19.25,12.53,0.081,0.96,2005-021,NEChan1,1.521,9.55,-0.4
41.99,-65.73,167,16,6,2005,59.46,18.75,15.78,0.04,0.97,2005-021,NEChan2,0.928,8.26,0.4
44.27,-63.32,168,17,6,2005,290.23,85.02,-116.58,0.032,0.98,2005-021,HL2,0.564,8.41,-0.3
43.41,-57.69,115,25,4,2003,691.23,23.39,37.32,0.134,0.99,2003-010,L2,3.435,2.69,2.8
43.37,-57.65,116,26,4,2003,489.9,21.13,36.16,0.659,0.93,2003-010,L3,2.798,2.78,5.4
