400;0.8865;1.022
405;0.9035;1.011
410;0.9318;1.008
415;0.9422;1.002
420;0.9475;0.999
425;0.9575;0.998
430;0.9614;0.992
435;0.9975;0.997
440;1;1
445;0.8995;0.99
450;0.855;0.989
455;0.8322;0.991
460;0.8104;0.988
465;0.8011;0.991
470;0.7434;0.979
475;0.6955;0.979
480;0.6477;0.972
485;0.6285;0.978
490;0.6031;0.981
495;0.5746;0.992
500;0.5435;0.997
505;0.5004;1.002
510;0.4622;0.999
515;0.4201;0.999
520;0.389;0.999
525;0.3473;0.993
530;0.3315;0.999
535;0.3171;1.015
540;0.3156;1.036
545;0.2685;1.021
550;0.2422;1.023
555;0.2071;1.008
560;0.1997;1.028
565;0.17;1.003
570;0.1685;1.013
575;0.1817;1.036
580;0.1673;1.02
585;0.171;1.022
590;0.1709;1.025
595;0.1548;1.008
600;0.1422;0.985
605;0.1554;1.02
610;0.1738;1.039
615;0.1809;1.034
620;0.1928;1.041
625;0.2105;1.061
630;0.2043;1.042
635;0.2125;1.041
640;0.2172;1.033
645;0.2082;1.027
650;0.2416;1.064
655;0.3009;1.093
660;0.3899;1.106
665;0.5559;1.119
670;0.593;1.094
675;0.5832;1.082
680;0.4898;1.07
685;0.2769;1.037
690;0.145;0.983
695;0.0768;0.962
700;0.0316;0.851
